Date,Incidence,Size_Mean,Size_SD
2018-07-31,5,0,0
2018-09-21,26,0,0
2018-12-04,0,0,0
2019-06-03,0,0,0
2019-06-25,2,1.964,0.126
2019-08-27,21,4.184,5.322
2019-09-11,0,2.464,1.086
2019-10-28,7,4.48,5.528
2019-11-15,0,0,0
2019-12-09,0,0,0
