Size,Count,Percent,Year
5,37,0.305,2018
10,21,0.171,2018
20,27,0.22,2018
40,7,0.061,2018
80,7,0.061,2018
160,12,0.098,2018
320,7,0.061,2018
640,3,0.024,2018
