Distance,Prevalence
1,9.302325581
2,2.777777778
3,9.708737864
4,5.063291139
5,4.848484848
1,11.11111111
2,20.58823529
3,11.53846154
4,10.16949153
5,2.469135802
1,11.11111111
2,12.5
3,9.708737864
4,5.384615385
5,4.385964912
